,date,month,road_accidents,total_rainfall,no_of_rainy_days,relative_humidity,mean_sunshine_hrs,mean_daily_temp
101,2016-06-01,6,655,162.8,13,77.7,5.4,26.1
102,2016-07-01,7,746,168.6,20,77.3,6.3,25.8
103,2016-08-01,8,794,139.2,15,74.0,6.7,26.2
104,2016-09-01,9,668,118.9,15,73.9,5.5,25.1
105,2016-10-01,10,740,181.0,16,72.0,4.6,25.2
106,2016-11-01,11,753,290.2,20,77.6,3.5,24.9
107,2016-12-01,12,643,292.6,23,72.8,5.1,24.7
108,2017-01-01,1,689,197.6,21,84.8,4.8,24.7
109,2017-02-01,2,592,158.4,15,83.2,7.1,24.7
110,2017-03-01,3,676,136.2,11,82.5,6.1,24.9
111,2017-04-01,4,674,208.6,21,83.5,5.3,25.0
112,2017-05-01,5,641,190.0,15,82.8,5.9,25.9
113,2017-06-01,6,636,106.0,10,80.2,6.3,25.9
114,2017-07-01,7,686,79.6,9,79.6,7.0,26.0
115,2017-08-01,8,663,84.2,18,79.9,6.1,25.9
116,2017-09-01,9,629,124.4,19,81.0,5.7,25.4
117,2017-10-01,10,619,120.8,18,82.5,5.5,25.3
118,2017-11-01,11,686,268.6,24,86.3,4.2,24.6
119,2017-12-01,12,652,371.2,23,85.2,5.6,24.6
120,2018-01-01,1,713,287.0,25,86.6,4.1,24.0
121,2018-02-01,2,618,14.8,5,77.2,8.0,24.8
122,2018-03-01,3,668,44.6,10,78.4,6.4,25.4
123,2018-04-01,4,648,61.2,14,78.5,6.8,25.8
124,2018-05-01,5,614,132.2,19,79.0,5.8,26.2
125,2018-06-01,6,654,182.6,17,79.3,4.1,25.6
126,2018-07-01,7,626,143.2,10,77.7,6.1,26.0
127,2018-08-01,8,667,121.6,11,77.0,6.7,26.1
128,2018-09-01,9,618,144.4,13,77.1,6.0,25.3
129,2018-10-01,10,642,234.4,18,79.7,6.1,25.2
130,2018-11-01,11,710,169.6,27,83.2,3.8,24.6
131,2018-12-01,12,632,172.6,19,81.5,5.1,25.3
132,2019-01-01,1,677,63.6,9,75.6,7.1,25.6
133,2019-02-01,2,581,31.6,5,74.1,9.2,25.4
134,2019-03-01,3,624,72.2,6,72.3,8.3,25.6
135,2019-04-01,4,635,174.8,9,77.6,5.9,25.9
136,2019-05-01,5,660,69.0,13,79.2,7.0,26.5
137,2019-06-01,6,655,173.8,16,79.5,5.3,26.1
138,2019-07-01,7,687,12.2,8,75.2,7.5,26.9
139,2019-08-01,8,622,11.8,6,72.1,7.6,27.1
140,2019-09-01,9,659,22.8,4,73.0,6.7,26.6
141,2019-10-01,10,692,176.8,15,78.1,6.5,25.3
142,2019-11-01,11,676,137.4,15,79.2,5.5,25.4
143,2019-12-01,12,654,421.5,14,83.9,4.8,24.6
144,2020-01-01,1,647,88.4,6,77.9,7.1,25.2
145,2020-02-01,2,489,65.0,8,76.0,8.3,25.3
146,2020-03-01,3,520,108.8,8,75.2,7.6,25.9
147,2020-04-01,4,296,188.0,12,76.4,7.1,26.0
148,2020-05-01,5,262,255.6,16,79.1,5.7,26.1
149,2020-06-01,6,365,233.8,21,80.2,4.3,25.5
150,2020-07-01,7,479,140.8,22,78.2,5.7,25.5
151,2020-08-01,8,437,103.4,12,76.8,6.4,25.9
152,2020-09-01,9,476,150.2,18,79.0,4.8,24.9
153,2020-10-01,10,512,78.8,16,75.4,4.3,25.6
154,2020-11-01,11,485,220.6,19,81.7,4.0,25.0
155,2020-12-01,12,588,253.2,20,81.1,5.2,24.5
156,2021-01-01,1,556,692.8,17,82.6,4.2,23.8
