Week,abdominal pain: (Singapore),aedes: (Singapore),Aedes aegypti: (Singapore),Aedes mosquito: (Singapore),bleeding: (Singapore),blood transfusion: (Singapore),citronella: (Singapore),DEET: (Singapore),dengue: (Singapore),Dengue cluster: (Singapore),dengue fever: (Singapore),dengue hotspots: (Singapore),dengue vaccine: (Singapore),Dengvaxia: (Singapore),dhf: (Singapore),essential oils: (Singapore),eucalyptus: (Singapore),Fever: (Singapore),fogging: (Singapore),haemorrhagic: (Singapore),headache: (Singapore),insecticide: (Singapore),IR3535: (Singapore),joint pain: (Singapore),mopiko: (Singapore),mosquito: (Singapore),mosquito bite: (Singapore),mosquito net: (Singapore),mosquito repellent: (Singapore),nausea: (Singapore),picaridin: (Singapore),Rashes: (Singapore),repellent: (Singapore),stagnant water: (Singapore),vomit: (Singapore),wolbachia: (Singapore)
2018-07-08,58,0,26,26,50,14,18,0,10,8,17,0,0,29,0,76,47,38,0,0,66,23,0,86,0,31,50,22,0,32,0,76,27,0,50,0
2018-07-15,72,0,0,0,66,44,0,39,10,0,27,0,0,49,0,70,28,39,27,0,80,40,23,38,0,35,17,22,23,35,20,82,52,0,63,70
2018-07-22,35,0,0,0,75,30,0,0,12,14,16,0,0,0,69,61,44,39,0,0,72,27,0,36,0,23,25,19,0,52,0,64,36,0,65,0
2018-07-29,46,70,0,26,47,17,0,0,12,18,22,21,0,0,0,62,44,40,15,0,50,0,0,59,0,41,30,28,26,52,0,65,21,0,52,0
2018-08-05,28,0,0,32,56,49,0,0,11,0,32,0,0,0,0,79,20,37,66,0,62,0,0,50,0,35,31,0,21,52,0,46,26,0,55,0
2018-08-12,47,0,0,0,54,28,0,0,10,14,18,0,0,0,0,63,15,37,25,0,64,33,0,78,0,25,48,0,8,32,0,62,23,0,51,0
2018-08-19,51,0,0,54,60,0,19,0,9,11,6,16,22,0,0,56,22,33,18,0,70,0,0,78,0,31,39,0,40,58,0,49,28,0,74,0
2018-08-26,34,0,0,0,45,22,0,53,10,0,6,0,0,0,0,56,36,33,40,0,55,28,0,48,24,26,0,0,37,30,0,51,31,0,46,0
2018-09-02,50,0,0,0,50,0,35,27,11,0,14,0,0,0,0,63,16,32,0,0,61,0,0,45,0,31,58,34,11,26,0,68,34,18,39,0
2018-09-09,44,37,0,0,59,23,0,33,8,21,28,0,0,0,0,73,20,31,0,0,66,0,0,33,36,25,31,0,9,38,0,71,25,0,44,0
2018-09-16,50,18,27,0,69,20,33,0,10,9,21,0,0,27,0,67,16,32,0,0,68,22,0,37,0,26,43,17,8,45,0,47,26,26,53,0
2018-09-23,41,13,0,33,55,0,26,42,11,9,24,0,0,0,0,46,32,35,0,0,58,0,0,44,0,30,12,23,17,39,20,50,26,35,76,15
2018-09-30,46,13,0,0,57,14,0,27,9,0,18,0,0,20,0,58,26,30,0,51,77,0,0,47,0,34,0,72,15,45,0,49,22,0,49,0
2018-10-07,14,0,37,0,68,26,39,32,9,11,16,26,0,0,0,86,15,38,18,0,68,0,0,62,0,13,18,0,0,53,0,45,27,0,36,0
2018-10-14,46,0,0,0,51,0,37,0,9,0,20,0,0,0,0,48,0,30,13,55,71,0,21,31,0,28,45,0,18,52,0,75,21,0,70,0
2018-10-21,63,0,44,0,64,17,19,0,10,0,12,0,0,38,16,51,23,36,0,0,61,34,19,41,0,25,31,0,0,30,0,55,21,19,42,0
2018-10-28,52,0,0,27,52,14,0,0,9,15,13,0,19,0,0,44,0,33,20,44,66,0,0,43,46,25,0,0,18,34,0,48,22,0,79,0
2018-11-04,95,0,0,0,55,0,40,0,9,8,15,0,29,0,0,76,44,39,0,100,61,0,0,61,0,28,72,16,0,44,0,63,18,0,59,26
2018-11-11,43,22,0,0,51,45,0,43,11,7,15,16,47,0,0,31,9,41,37,0,69,41,0,90,0,41,37,0,23,36,27,75,51,0,67,0
2018-11-18,15,38,0,0,72,18,0,0,11,13,29,0,20,0,0,74,12,43,22,37,64,0,86,65,0,37,33,0,0,67,0,48,40,0,55,0
2018-11-25,38,0,0,36,69,0,28,0,17,8,19,0,0,40,0,74,44,42,40,0,73,0,0,46,36,50,43,30,21,49,0,49,39,0,48,31
2018-12-02,38,0,0,36,50,20,0,26,13,9,34,0,50,26,0,74,40,40,19,0,66,57,0,0,0,41,34,35,12,36,0,56,19,42,65,0
2018-12-09,39,22,0,0,52,0,17,0,13,14,0,0,0,0,0,93,15,37,16,0,56,0,0,30,0,32,0,0,8,49,0,58,50,0,86,0
2018-12-16,53,16,0,100,56,38,66,0,15,9,26,33,0,0,0,52,19,45,0,0,64,30,0,58,34,37,18,0,29,51,0,56,34,20,56,0
2018-12-23,49,0,0,0,60,53,0,59,12,0,26,0,0,0,0,61,40,44,0,0,59,0,0,91,0,21,62,19,13,54,66,48,20,0,76,0
2018-12-30,41,0,0,0,60,26,0,0,13,0,27,16,0,0,0,59,14,43,0,0,70,39,0,54,0,29,0,0,17,44,0,54,27,0,76,0
2019-01-06,85,0,0,0,67,0,0,47,19,18,40,0,57,0,17,48,49,42,0,0,48,33,0,88,0,26,15,43,10,40,25,59,28,0,56,0
2019-01-13,31,21,100,24,51,28,0,50,22,12,40,62,0,0,0,31,20,40,0,0,56,0,0,54,0,41,36,0,10,32,0,57,16,0,55,0
