Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,1980,4,1,0,—,—,—,—,—,—,—,—
Changi,1980,4,2,71.2,—,—,—,—,—,—,—,—
Changi,1980,4,3,3.6,—,—,—,—,—,—,—,—
Changi,1980,4,4,0.4,—,—,—,—,—,—,—,—
Changi,1980,4,5,0,—,—,—,—,—,—,—,—
Changi,1980,4,6,0,—,—,—,—,—,—,—,—
Changi,1980,4,7,0,—,—,—,—,—,—,—,—
Changi,1980,4,8,0,—,—,—,—,—,—,—,—
Changi,1980,4,9,0,—,—,—,—,—,—,—,—
Changi,1980,4,10,13.8,—,—,—,—,—,—,—,—
Changi,1980,4,11,0.5,—,—,—,—,—,—,—,—
Changi,1980,4,12,0,—,—,—,—,—,—,—,—
Changi,1980,4,13,0.5,—,—,—,—,—,—,—,—
Changi,1980,4,14,3.1,—,—,—,—,—,—,—,—
Changi,1980,4,15,67.4,—,—,—,—,—,—,—,—
Changi,1980,4,16,4,—,—,—,—,—,—,—,—
Changi,1980,4,17,13.5,—,—,—,—,—,—,—,—
Changi,1980,4,18,10.1,—,—,—,—,—,—,—,—
Changi,1980,4,19,7,—,—,—,—,—,—,—,—
Changi,1980,4,20,12.8,—,—,—,—,—,—,—,—
Changi,1980,4,21,2,—,—,—,—,—,—,—,—
Changi,1980,4,22,0,—,—,—,—,—,—,—,—
Changi,1980,4,23,0,—,—,—,—,—,—,—,—
Changi,1980,4,24,0.8,—,—,—,—,—,—,—,—
Changi,1980,4,25,1.8,—,—,—,—,—,—,—,—
Changi,1980,4,26,3.3,—,—,—,—,—,—,—,—
Changi,1980,4,27,3.1,—,—,—,—,—,—,—,—
Changi,1980,4,28,7.4,—,—,—,—,—,—,—,—
Changi,1980,4,29,0,—,—,—,—,—,—,—,—
Changi,1980,4,30,0,—,—,—,—,—,—,—,—
