Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,1982,9,1,0,—,—,—,27.6,31.2,24.8,—,—
Changi,1982,9,2,18,—,—,—,25.7,28.4,23.5,—,—
Changi,1982,9,3,0.8,—,—,—,26,27.6,24.1,—,—
Changi,1982,9,4,0,—,—,—,27.5,30.5,25.5,—,—
Changi,1982,9,5,0,—,—,—,27.3,29.9,25,—,—
Changi,1982,9,6,2.2,—,—,—,27.7,31.3,25.7,—,—
Changi,1982,9,7,2.6,—,—,—,28,30.9,25.2,—,—
Changi,1982,9,8,16,—,—,—,28.1,31.4,24.4,—,—
Changi,1982,9,9,0,—,—,—,28.2,31.1,26.2,—,—
Changi,1982,9,10,0,—,—,—,28,30.8,25.8,—,—
Changi,1982,9,11,0,—,—,—,28.1,32,25.9,—,—
Changi,1982,9,12,0,—,—,—,27.9,31.5,24.4,—,—
Changi,1982,9,13,13.1,—,—,—,28.2,30.7,24.8,—,—
Changi,1982,9,14,0,—,—,—,27.2,31.1,24.3,—,—
Changi,1982,9,15,0,—,—,—,28.2,32,25.6,—,—
Changi,1982,9,16,0.3,—,—,—,28.1,31.5,25.8,—,—
Changi,1982,9,17,0,—,—,—,28.5,32,26.4,—,—
Changi,1982,9,18,0,—,—,—,28.3,31.2,26.7,—,—
Changi,1982,9,19,0,—,—,—,28.2,32.1,25.5,—,—
Changi,1982,9,20,0,—,—,—,28.5,31.9,26.1,—,—
Changi,1982,9,21,0,—,—,—,28.5,32,26.4,—,—
Changi,1982,9,22,0,—,—,—,28.5,31.7,26.6,—,—
Changi,1982,9,23,0.8,—,—,—,27.8,31.5,24.8,—,—
Changi,1982,9,24,0.2,—,—,—,28,31.8,25,—,—
Changi,1982,9,25,0,—,—,—,28.4,32,26.2,—,—
Changi,1982,9,26,0,—,—,—,27.8,32.1,24.2,—,—
Changi,1982,9,27,0,—,—,—,28.2,33.2,25.5,—,—
Changi,1982,9,28,0,—,—,—,28.5,33,25.3,—,—
Changi,1982,9,29,0,—,—,—,28,32.3,25.1,—,—
Changi,1982,9,30,0.1,—,—,—,27,32.1,23.6,—,—
