Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,1982,3,1,25.5,—,—,—,27,34.3,23,—,—
Changi,1982,3,2,0,—,—,—,27.7,32.1,25.5,—,—
Changi,1982,3,3,0,—,—,—,27.7,32.3,25,—,—
Changi,1982,3,4,0,—,—,—,27.7,32.1,24.9,—,—
Changi,1982,3,5,0.7,—,—,—,27.7,32,25.1,—,—
Changi,1982,3,6,13.4,—,—,—,25.7,27.3,22.3,—,—
Changi,1982,3,7,0,—,—,—,27.7,31.5,25.3,—,—
Changi,1982,3,8,0,—,—,—,26.8,30.5,24.5,—,—
Changi,1982,3,9,1.9,—,—,—,27,32.3,24.6,—,—
Changi,1982,3,10,0,—,—,—,27.1,31,24.3,—,—
Changi,1982,3,11,2.2,—,—,—,27.7,31.9,25.5,—,—
Changi,1982,3,12,0,—,—,—,27.2,32.4,23.6,—,—
Changi,1982,3,13,0,—,—,—,27.4,33,23.5,—,—
Changi,1982,3,14,1.6,—,—,—,27.3,32,24.2,—,—
Changi,1982,3,15,0,—,—,—,28.2,33.2,25.5,—,—
Changi,1982,3,16,0,—,—,—,28.3,33.7,25.2,—,—
Changi,1982,3,17,61.7,—,—,—,26.2,30.9,22.9,—,—
Changi,1982,3,18,0.6,—,—,—,26.4,31.4,24,—,—
Changi,1982,3,19,0.8,—,—,—,26.7,31,24.9,—,—
Changi,1982,3,20,0.1,—,—,—,27.2,32.2,23.7,—,—
Changi,1982,3,21,0,—,—,—,27,29.2,24.3,—,—
Changi,1982,3,22,0,—,—,—,27.4,32.3,24.8,—,—
Changi,1982,3,23,0,—,—,—,27.2,32,24.5,—,—
Changi,1982,3,24,0,—,—,—,28,32.1,24.9,—,—
Changi,1982,3,25,35.9,—,—,—,27.7,33.9,22.8,—,—
Changi,1982,3,26,16.4,—,—,—,26.5,31.7,23.8,—,—
Changi,1982,3,27,0,—,—,—,27.1,30.3,24.9,—,—
Changi,1982,3,28,0,—,—,—,27.2,30.5,24.5,—,—
Changi,1982,3,29,0,—,—,—,26,29.8,24.4,—,—
Changi,1982,3,30,0,—,—,—,27.3,32.5,23.7,—,—
Changi,1982,3,31,0,—,—,—,27.1,31,24.2,—,—
