Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,1981,4,1,0,—,—,—,—,—,—,—,—
Changi,1981,4,2,3.7,—,—,—,—,—,—,—,—
Changi,1981,4,3,0.2,—,—,—,—,—,—,—,—
Changi,1981,4,4,0,—,—,—,—,—,—,—,—
Changi,1981,4,5,1.9,—,—,—,—,—,—,—,—
Changi,1981,4,6,9.9,—,—,—,—,—,—,—,—
Changi,1981,4,7,0,—,—,—,—,—,—,—,—
Changi,1981,4,8,21.3,—,—,—,—,—,—,—,—
Changi,1981,4,9,3.5,—,—,—,—,—,—,—,—
Changi,1981,4,10,7.9,—,—,—,—,—,—,—,—
Changi,1981,4,11,7.1,—,—,—,—,—,—,—,—
Changi,1981,4,12,1.7,—,—,—,—,—,—,—,—
Changi,1981,4,13,0,—,—,—,—,—,—,—,—
Changi,1981,4,14,4.9,—,—,—,—,—,—,—,—
Changi,1981,4,15,5.1,—,—,—,—,—,—,—,—
Changi,1981,4,16,0.3,—,—,—,—,—,—,—,—
Changi,1981,4,17,0,—,—,—,—,—,—,—,—
Changi,1981,4,18,16.6,—,—,—,—,—,—,—,—
Changi,1981,4,19,0,—,—,—,—,—,—,—,—
Changi,1981,4,20,0,—,—,—,—,—,—,—,—
Changi,1981,4,21,3.7,—,—,—,—,—,—,—,—
Changi,1981,4,22,0.2,—,—,—,—,—,—,—,—
Changi,1981,4,23,0.2,—,—,—,—,—,—,—,—
Changi,1981,4,24,0,—,—,—,—,—,—,—,—
Changi,1981,4,25,0,—,—,—,—,—,—,—,—
Changi,1981,4,26,0,—,—,—,—,—,—,—,—
Changi,1981,4,27,0,—,—,—,—,—,—,—,—
Changi,1981,4,28,0.7,—,—,—,—,—,—,—,—
Changi,1981,4,29,0,—,—,—,—,—,—,—,—
Changi,1981,4,30,1.3,—,—,—,—,—,—,—,—
