Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,1982,7,1,0,—,—,—,29.5,33,27.5,—,—
Changi,1982,7,2,0,—,—,—,29.3,32.8,27.3,—,—
Changi,1982,7,3,11.8,—,—,—,29,32.9,25.3,—,—
Changi,1982,7,4,5.2,—,—,—,27.4,29.9,23,—,—
Changi,1982,7,5,0,—,—,—,28.6,32.1,26.5,—,—
Changi,1982,7,6,0,—,—,—,28.7,31.9,26.5,—,—
Changi,1982,7,7,0,—,—,—,28.6,32.3,26.1,—,—
Changi,1982,7,8,11.7,—,—,—,27.3,30.5,23.8,—,—
Changi,1982,7,9,0,—,—,—,28.4,31.7,26.2,—,—
Changi,1982,7,10,0,—,—,—,28.8,32.1,26.5,—,—
Changi,1982,7,11,0,—,—,—,28.9,32.1,26.8,—,—
Changi,1982,7,12,4.3,—,—,—,27.1,31.8,24.1,—,—
Changi,1982,7,13,4.5,—,—,—,28.1,31.6,25.2,—,—
Changi,1982,7,14,0,—,—,—,28.6,31.6,26,—,—
Changi,1982,7,15,17.2,—,—,—,28.3,31,26.9,—,—
Changi,1982,7,16,0,—,—,—,27,31.4,22.1,—,—
Changi,1982,7,17,0,—,—,—,28.5,31.9,26.7,—,—
Changi,1982,7,18,0,—,—,—,26.4,28.7,23.8,—,—
Changi,1982,7,19,6,—,—,—,27.7,30.9,24.6,—,—
Changi,1982,7,20,15.6,—,—,—,25.5,29.4,22.8,—,—
Changi,1982,7,21,0,—,—,—,26.8,31,23.4,—,—
Changi,1982,7,22,0,—,—,—,28.5,31.6,26.5,—,—
Changi,1982,7,23,0,—,—,—,28.7,32,26.2,—,—
Changi,1982,7,24,0,—,—,—,28.7,32,26.5,—,—
Changi,1982,7,25,0,—,—,—,27.8,31.6,24.9,—,—
Changi,1982,7,26,0,—,—,—,28.5,32.8,25.5,—,—
Changi,1982,7,27,0,—,—,—,28.8,32.7,26.4,—,—
Changi,1982,7,28,0,—,—,—,28.4,32.3,25.5,—,—
Changi,1982,7,29,0,—,—,—,28.5,31.2,26.4,—,—
Changi,1982,7,30,0,—,—,—,28.7,31.8,26.3,—,—
Changi,1982,7,31,0,—,—,—,28.8,32.5,26.4,—,—
