Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,1982,1,1,22.7,—,—,—,25.3,29.4,23,—,—
Changi,1982,1,2,31.4,—,—,—,24.7,26.2,23.5,—,—
Changi,1982,1,3,0.3,—,—,—,25.7,27.2,24,—,—
Changi,1982,1,4,0,—,—,—,26.3,29.8,24.1,—,—
Changi,1982,1,5,3.1,—,—,—,25.8,28.8,23.5,—,—
Changi,1982,1,6,36.5,—,—,—,23.7,24.9,21.9,—,—
Changi,1982,1,7,1.5,—,—,—,23.7,25.2,22.4,—,—
Changi,1982,1,8,7,—,—,—,24.4,27.6,22.8,—,—
Changi,1982,1,9,0,—,—,—,25.4,28.3,23.5,—,—
Changi,1982,1,10,0,—,—,—,25.6,29.3,23.2,—,—
Changi,1982,1,11,0.3,—,—,—,25.9,29.7,23.8,—,—
Changi,1982,1,12,0,—,—,—,25.9,29.2,23.4,—,—
Changi,1982,1,13,0,—,—,—,26.2,30.7,23.1,—,—
Changi,1982,1,14,0,—,—,—,25.9,30.3,23.1,—,—
Changi,1982,1,15,0,—,—,—,26.1,29.8,23.9,—,—
Changi,1982,1,16,0,—,—,—,26.1,29.6,23.3,—,—
Changi,1982,1,17,0,—,—,—,26.1,30.2,23.3,—,—
Changi,1982,1,18,0,—,—,—,26,30.1,23.3,—,—
Changi,1982,1,19,0,—,—,—,26.2,31.7,22.5,—,—
Changi,1982,1,20,0,—,—,—,26.7,31.7,23.6,—,—
Changi,1982,1,21,0,—,—,—,26.5,30.9,23,—,—
Changi,1982,1,22,0,—,—,—,26.4,31.2,22.6,—,—
Changi,1982,1,23,0,—,—,—,26.8,31,24,—,—
Changi,1982,1,24,0,—,—,—,26.7,31.2,23.8,—,—
Changi,1982,1,25,0,—,—,—,26.7,31.2,24.2,—,—
Changi,1982,1,26,0,—,—,—,26.6,31.2,23.3,—,—
Changi,1982,1,27,0,—,—,—,26.4,31.4,23,—,—
Changi,1982,1,28,0,—,—,—,26.7,31.9,23.5,—,—
Changi,1982,1,29,0,—,—,—,27,31.7,23.5,—,—
Changi,1982,1,30,2.1,—,—,—,26.9,31.5,23.8,—,—
Changi,1982,1,31,2.2,—,—,—,25.8,30.1,23,—,—
