Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,1980,7,1,0,—,—,—,—,—,—,—,—
Changi,1980,7,2,20.6,—,—,—,—,—,—,—,—
Changi,1980,7,3,0,—,—,—,—,—,—,—,—
Changi,1980,7,4,0,—,—,—,—,—,—,—,—
Changi,1980,7,5,0,—,—,—,—,—,—,—,—
Changi,1980,7,6,0,—,—,—,—,—,—,—,—
Changi,1980,7,7,0,—,—,—,—,—,—,—,—
Changi,1980,7,8,0,—,—,—,—,—,—,—,—
Changi,1980,7,9,0.1,—,—,—,—,—,—,—,—
Changi,1980,7,10,0,—,—,—,—,—,—,—,—
Changi,1980,7,11,0,—,—,—,—,—,—,—,—
Changi,1980,7,12,0,—,—,—,—,—,—,—,—
Changi,1980,7,13,0,—,—,—,—,—,—,—,—
Changi,1980,7,14,10.1,—,—,—,—,—,—,—,—
Changi,1980,7,15,0,—,—,—,—,—,—,—,—
Changi,1980,7,16,0,—,—,—,—,—,—,—,—
Changi,1980,7,17,1.4,—,—,—,—,—,—,—,—
Changi,1980,7,18,1.9,—,—,—,—,—,—,—,—
Changi,1980,7,19,12.4,—,—,—,—,—,—,—,—
Changi,1980,7,20,9.9,—,—,—,—,—,—,—,—
Changi,1980,7,21,3.5,—,—,—,—,—,—,—,—
Changi,1980,7,22,0,—,—,—,—,—,—,—,—
Changi,1980,7,23,10,—,—,—,—,—,—,—,—
Changi,1980,7,24,0,—,—,—,—,—,—,—,—
Changi,1980,7,25,3.9,—,—,—,—,—,—,—,—
Changi,1980,7,26,0,—,—,—,—,—,—,—,—
Changi,1980,7,27,17.9,—,—,—,—,—,—,—,—
Changi,1980,7,28,0.1,—,—,—,—,—,—,—,—
Changi,1980,7,29,0,—,—,—,—,—,—,—,—
Changi,1980,7,30,0,—,—,—,—,—,—,—,—
Changi,1980,7,31,0,—,—,—,—,—,—,—,—
