Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,1981,2,1,0,—,—,—,—,—,—,—,—
Changi,1981,2,2,23.6,—,—,—,—,—,—,—,—
Changi,1981,2,3,4.7,—,—,—,—,—,—,—,—
Changi,1981,2,4,0,—,—,—,—,—,—,—,—
Changi,1981,2,5,0,—,—,—,—,—,—,—,—
Changi,1981,2,6,0,—,—,—,—,—,—,—,—
Changi,1981,2,7,0,—,—,—,—,—,—,—,—
Changi,1981,2,8,0,—,—,—,—,—,—,—,—
Changi,1981,2,9,0,—,—,—,—,—,—,—,—
Changi,1981,2,10,0,—,—,—,—,—,—,—,—
Changi,1981,2,11,4.3,—,—,—,—,—,—,—,—
Changi,1981,2,12,0,—,—,—,—,—,—,—,—
Changi,1981,2,13,0,—,—,—,—,—,—,—,—
Changi,1981,2,14,39.4,—,—,—,—,—,—,—,—
Changi,1981,2,15,0,—,—,—,—,—,—,—,—
Changi,1981,2,16,0,—,—,—,—,—,—,—,—
Changi,1981,2,17,8.7,—,—,—,—,—,—,—,—
Changi,1981,2,18,0,—,—,—,—,—,—,—,—
Changi,1981,2,19,0,—,—,—,—,—,—,—,—
Changi,1981,2,20,0,—,—,—,—,—,—,—,—
Changi,1981,2,21,0,—,—,—,—,—,—,—,—
Changi,1981,2,22,0,—,—,—,—,—,—,—,—
Changi,1981,2,23,0,—,—,—,—,—,—,—,—
Changi,1981,2,24,0,—,—,—,—,—,—,—,—
Changi,1981,2,25,56.6,—,—,—,—,—,—,—,—
Changi,1981,2,26,0.3,—,—,—,—,—,—,—,—
Changi,1981,2,27,37.9,—,—,—,—,—,—,—,—
Changi,1981,2,28,4.7,—,—,—,—,—,—,—,—
