Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,1980,11,1,0.6,—,—,—,—,—,—,—,—
Changi,1980,11,2,24.8,—,—,—,—,—,—,—,—
Changi,1980,11,3,20.1,—,—,—,—,—,—,—,—
Changi,1980,11,4,0,—,—,—,—,—,—,—,—
Changi,1980,11,5,5.7,—,—,—,—,—,—,—,—
Changi,1980,11,6,0.5,—,—,—,—,—,—,—,—
Changi,1980,11,7,0,—,—,—,—,—,—,—,—
Changi,1980,11,8,2.2,—,—,—,—,—,—,—,—
Changi,1980,11,9,47.3,—,—,—,—,—,—,—,—
Changi,1980,11,10,1.3,—,—,—,—,—,—,—,—
Changi,1980,11,11,0,—,—,—,—,—,—,—,—
Changi,1980,11,12,0,—,—,—,—,—,—,—,—
Changi,1980,11,13,0.1,—,—,—,—,—,—,—,—
Changi,1980,11,14,4.1,—,—,—,—,—,—,—,—
Changi,1980,11,15,0.3,—,—,—,—,—,—,—,—
Changi,1980,11,16,0,—,—,—,—,—,—,—,—
Changi,1980,11,17,0,—,—,—,—,—,—,—,—
Changi,1980,11,18,0.6,—,—,—,—,—,—,—,—
Changi,1980,11,19,1.9,—,—,—,—,—,—,—,—
Changi,1980,11,20,21.2,—,—,—,—,—,—,—,—
Changi,1980,11,21,1.1,—,—,—,—,—,—,—,—
Changi,1980,11,22,6.6,—,—,—,—,—,—,—,—
Changi,1980,11,23,7.4,—,—,—,—,—,—,—,—
Changi,1980,11,24,0.4,—,—,—,—,—,—,—,—
Changi,1980,11,25,0.5,—,—,—,—,—,—,—,—
Changi,1980,11,26,0.3,—,—,—,—,—,—,—,—
Changi,1980,11,27,0,—,—,—,—,—,—,—,—
Changi,1980,11,28,9.3,—,—,—,—,—,—,—,—
Changi,1980,11,29,22.1,—,—,—,—,—,—,—,—
Changi,1980,11,30,0.6,—,—,—,—,—,—,—,—
