Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,1981,12,1,18.3,—,—,—,—,—,—,—,—
Changi,1981,12,2,7.2,—,—,—,—,—,—,—,—
Changi,1981,12,3,0,—,—,—,—,—,—,—,—
Changi,1981,12,4,50.9,—,—,—,—,—,—,—,—
Changi,1981,12,5,5.7,—,—,—,—,—,—,—,—
Changi,1981,12,6,0,—,—,—,—,—,—,—,—
Changi,1981,12,7,3.7,—,—,—,—,—,—,—,—
Changi,1981,12,8,6.3,—,—,—,—,—,—,—,—
Changi,1981,12,9,0,—,—,—,—,—,—,—,—
Changi,1981,12,10,37,—,—,—,—,—,—,—,—
Changi,1981,12,11,4.4,—,—,—,—,—,—,—,—
Changi,1981,12,12,13,—,—,—,—,—,—,—,—
Changi,1981,12,13,14.8,—,—,—,—,—,—,—,—
Changi,1981,12,14,2.5,—,—,—,—,—,—,—,—
Changi,1981,12,15,56.9,—,—,—,—,—,—,—,—
Changi,1981,12,16,71.5,—,—,—,—,—,—,—,—
Changi,1981,12,17,34,—,—,—,—,—,—,—,—
Changi,1981,12,18,31.8,—,—,—,—,—,—,—,—
Changi,1981,12,19,11.4,—,—,—,—,—,—,—,—
Changi,1981,12,20,5.3,—,—,—,—,—,—,—,—
Changi,1981,12,21,0,—,—,—,—,—,—,—,—
Changi,1981,12,22,0,—,—,—,—,—,—,—,—
Changi,1981,12,23,0,—,—,—,—,—,—,—,—
Changi,1981,12,24,0,—,—,—,—,—,—,—,—
Changi,1981,12,25,0,—,—,—,—,—,—,—,—
Changi,1981,12,26,0,—,—,—,—,—,—,—,—
Changi,1981,12,27,0,—,—,—,—,—,—,—,—
Changi,1981,12,28,0,—,—,—,—,—,—,—,—
Changi,1981,12,29,0,—,—,—,—,—,—,—,—
Changi,1981,12,30,0,—,—,—,—,—,—,—,—
Changi,1981,12,31,12.7,—,—,—,—,—,—,—,—
