Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,1982,6,1,5.4,—,—,—,27.2,29.3,24,—,—
Changi,1982,6,2,0,—,—,—,28.1,32.2,25.5,—,—
Changi,1982,6,3,0.6,—,—,—,28.4,32.8,26,—,—
Changi,1982,6,4,0.8,—,—,—,26.9,30.1,25.6,—,—
Changi,1982,6,5,1,—,—,—,27.1,31,25.2,—,—
Changi,1982,6,6,0,—,—,—,28.4,32.5,25,—,—
Changi,1982,6,7,0,—,—,—,29.5,32.7,27.1,—,—
Changi,1982,6,8,0,—,—,—,29.8,33.3,27.4,—,—
Changi,1982,6,9,0,—,—,—,29.9,32.9,27.7,—,—
Changi,1982,6,10,0,—,—,—,29.6,33.2,27.3,—,—
Changi,1982,6,11,0,—,—,—,29.4,32.9,26.4,—,—
Changi,1982,6,12,0,—,—,—,29.4,33.2,27.4,—,—
Changi,1982,6,13,20.6,—,—,—,27.3,31.7,24.4,—,—
Changi,1982,6,14,0,—,—,—,26.1,29.6,24.1,—,—
Changi,1982,6,15,14.5,—,—,—,27.1,30.9,24.2,—,—
Changi,1982,6,16,8,—,—,—,25.5,27.4,23.1,—,—
Changi,1982,6,17,0,—,—,—,28.1,31.6,24.5,—,—
Changi,1982,6,18,0,—,—,—,28.9,32,26.4,—,—
Changi,1982,6,19,0,—,—,—,29,32.2,26.8,—,—
Changi,1982,6,20,8.6,—,—,—,28.3,31.4,26.5,—,—
Changi,1982,6,21,0,—,—,—,28.9,31.8,26.5,—,—
Changi,1982,6,22,0,—,—,—,28.8,31.9,26.3,—,—
Changi,1982,6,23,0,—,—,—,29,32.3,26.3,—,—
Changi,1982,6,24,0,—,—,—,29.1,32.5,26.4,—,—
Changi,1982,6,25,0,—,—,—,28.9,32.5,26.2,—,—
Changi,1982,6,26,0,—,—,—,29.3,33.1,26.7,—,—
Changi,1982,6,27,0,—,—,—,28.7,31.7,26.7,—,—
Changi,1982,6,28,0,—,—,—,28.8,32.6,26.8,—,—
Changi,1982,6,29,0,—,—,—,29,32.8,26.5,—,—
Changi,1982,6,30,0,—,—,—,29.2,33,26.6,—,—
