Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,1982,4,1,0,—,—,—,28.2,32.3,25.2,—,—
Changi,1982,4,2,0,—,—,—,28,31.9,25.7,—,—
Changi,1982,4,3,0.3,—,—,—,26.8,33.2,24.8,—,—
Changi,1982,4,4,0,—,—,—,26.7,30.7,23.9,—,—
Changi,1982,4,5,45.1,—,—,—,25.6,31.4,22.2,—,—
Changi,1982,4,6,0,—,—,—,26.9,31,23.6,—,—
Changi,1982,4,7,0,—,—,—,26.7,31.9,24.6,—,—
Changi,1982,4,8,22.4,—,—,—,26.7,32.2,23.4,—,—
Changi,1982,4,9,0,—,—,—,26.7,30.6,24.2,—,—
Changi,1982,4,10,0,—,—,—,27.9,32,24.7,—,—
Changi,1982,4,11,1.1,—,—,—,27.6,31.9,25,—,—
Changi,1982,4,12,0,—,—,—,27.9,32.4,24.5,—,—
Changi,1982,4,13,0,—,—,—,28.3,32.6,25.2,—,—
Changi,1982,4,14,7.8,—,—,—,26.3,30.7,24,—,—
Changi,1982,4,15,0,—,—,—,26.4,32,23.8,—,—
Changi,1982,4,16,0,—,—,—,26.6,29,24.3,—,—
Changi,1982,4,17,5.1,—,—,—,25.4,27.4,23.1,—,—
Changi,1982,4,18,0,—,—,—,27,31.5,23.2,—,—
Changi,1982,4,19,0,—,—,—,28.1,31.8,25.1,—,—
Changi,1982,4,20,1,—,—,—,27.6,31.7,25.3,—,—
Changi,1982,4,21,0,—,—,—,27.9,32,25,—,—
Changi,1982,4,22,0,—,—,—,27,32,24.6,—,—
Changi,1982,4,23,0.2,—,—,—,26.7,32,24.5,—,—
Changi,1982,4,24,10.4,—,—,—,27,32.4,24.6,—,—
Changi,1982,4,25,11.9,—,—,—,26.3,29.5,24.3,—,—
Changi,1982,4,26,34.4,—,—,—,26.8,32.8,24,—,—
Changi,1982,4,27,1.4,—,—,—,26.8,31.6,24.1,—,—
Changi,1982,4,28,12.2,—,—,—,26.5,32.1,24.3,—,—
Changi,1982,4,29,0,—,—,—,26.4,30.5,24.4,—,—
Changi,1982,4,30,3.7,—,—,—,27.1,30,23.5,—,—
