Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,1980,10,1,0,—,—,—,—,—,—,—,—
Changi,1980,10,2,0.6,—,—,—,—,—,—,—,—
Changi,1980,10,3,52.2,—,—,—,—,—,—,—,—
Changi,1980,10,4,23.5,—,—,—,—,—,—,—,—
Changi,1980,10,5,0,—,—,—,—,—,—,—,—
Changi,1980,10,6,0,—,—,—,—,—,—,—,—
Changi,1980,10,7,0,—,—,—,—,—,—,—,—
Changi,1980,10,8,0.1,—,—,—,—,—,—,—,—
Changi,1980,10,9,14.9,—,—,—,—,—,—,—,—
Changi,1980,10,10,0,—,—,—,—,—,—,—,—
Changi,1980,10,11,0,—,—,—,—,—,—,—,—
Changi,1980,10,12,1.2,—,—,—,—,—,—,—,—
Changi,1980,10,13,0,—,—,—,—,—,—,—,—
Changi,1980,10,14,1.6,—,—,—,—,—,—,—,—
Changi,1980,10,15,7.3,—,—,—,—,—,—,—,—
Changi,1980,10,16,116.5,—,—,—,—,—,—,—,—
Changi,1980,10,17,35.1,—,—,—,—,—,—,—,—
Changi,1980,10,18,0,—,—,—,—,—,—,—,—
Changi,1980,10,19,3.4,—,—,—,—,—,—,—,—
Changi,1980,10,20,61.8,—,—,—,—,—,—,—,—
Changi,1980,10,21,0.5,—,—,—,—,—,—,—,—
Changi,1980,10,22,0,—,—,—,—,—,—,—,—
Changi,1980,10,23,0,—,—,—,—,—,—,—,—
Changi,1980,10,24,0,—,—,—,—,—,—,—,—
Changi,1980,10,25,24.2,—,—,—,—,—,—,—,—
Changi,1980,10,26,19.8,—,—,—,—,—,—,—,—
Changi,1980,10,27,23.4,—,—,—,—,—,—,—,—
Changi,1980,10,28,32.7,—,—,—,—,—,—,—,—
Changi,1980,10,29,23.2,—,—,—,—,—,—,—,—
Changi,1980,10,30,0.7,—,—,—,—,—,—,—,—
Changi,1980,10,31,0,—,—,—,—,—,—,—,—
