Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,1982,11,1,3.8,—,—,—,25.3,28.9,23.9,—,—
Changi,1982,11,2,0,—,—,—,27.6,33.2,23.8,—,—
Changi,1982,11,3,0,—,—,—,27.9,33.5,24.8,—,—
Changi,1982,11,4,27.9,—,—,—,27.5,32.8,24.6,—,—
Changi,1982,11,5,0.1,—,—,—,26.9,32.3,24.4,—,—
Changi,1982,11,6,0,—,—,—,26.9,30.2,24.7,—,—
Changi,1982,11,7,6.1,—,—,—,26.6,30.4,24.5,—,—
Changi,1982,11,8,0,—,—,—,27,30.6,24,—,—
Changi,1982,11,9,0,—,—,—,28.2,33.4,24.7,—,—
Changi,1982,11,10,0,—,—,—,27.6,32.6,24.7,—,—
Changi,1982,11,11,0.6,—,—,—,27.9,32.9,24.5,—,—
Changi,1982,11,12,0,—,—,—,27.1,33,24.6,—,—
Changi,1982,11,13,0,—,—,—,27.6,32.5,23.7,—,—
Changi,1982,11,14,0,—,—,—,27.6,34,24,—,—
Changi,1982,11,15,0,—,—,—,28.4,34,25,—,—
Changi,1982,11,16,0,—,—,—,28.5,33.4,24.6,—,—
Changi,1982,11,17,0,—,—,—,28.6,34.3,25.4,—,—
Changi,1982,11,18,0.2,—,—,—,28.7,33.4,25.3,—,—
Changi,1982,11,19,13,—,—,—,26.9,33.1,24.6,—,—
Changi,1982,11,20,39.6,—,—,—,25.5,30.9,23.1,—,—
Changi,1982,11,21,0,—,—,—,26.8,32,23.5,—,—
Changi,1982,11,22,1.5,—,—,—,27.5,33.3,24.3,—,—
Changi,1982,11,23,0,—,—,—,27.6,32,24.9,—,—
Changi,1982,11,24,4.8,—,—,—,26.7,32.1,24.5,—,—
Changi,1982,11,25,0.8,—,—,—,27.4,32.3,24.3,—,—
Changi,1982,11,26,0.1,—,—,—,27.8,32.6,25,—,—
Changi,1982,11,27,15.8,—,—,—,26.6,32.5,24.4,—,—
Changi,1982,11,28,0.6,—,—,—,27.5,32.5,23.9,—,—
Changi,1982,11,29,0,—,—,—,27.3,31,25.2,—,—
Changi,1982,11,30,19.1,—,—,—,26.8,32.1,24.7,—,—
