month,denv_1,denv_2,denv_3,denv_4
1,0.009,0.393,0.598,0
2,0.004,0.357,0.626,0.013
3,0.004,0.134,0.862,0
4,0.001,0.1,0.893,0.006
5,0.002,0.127,0.865,0.006
6,0.005,0.122,0.856,0.018
7,0.01,0.102,0.848,0.04
8,0.024,0.114,0.835,0.027
9,0.043,0.145,0.782,0.031
10,0.065,0.177,0.727,0.031
11,0.068,0.113,0.788,0.031
12,0.214,0.108,0.623,0.055
