month,denv_1,denv_2,denv_3,denv_4
1,0.063,0.773,0.147,0.017
2,0.09,0.737,0.13,0.043
3,0.05,0.639,0.238,0.074
4,0.077,0.568,0.297,0.058
5,0.033,0.569,0.275,0.123
6,0.045,0.641,0.239,0.075
7,0.024,0.697,0.207,0.072
8,0.014,0.722,0.175,0.089
9,0.031,0.656,0.257,0.055
10,0.058,0.563,0.332,0.047
11,0.027,0.576,0.299,0.098
12,0.049,0.451,0.407,0.093
