month,denv_1,denv_2,denv_3,denv_4
1,0.089,0.397,0.467,0.048
2,0.177,0.269,0.474,0.081
3,0.134,0.316,0.43,0.12
4,0.06,0.393,0.426,0.121
5,0.054,0.534,0.294,0.118
6,0.042,0.49,0.362,0.106
7,0.034,0.44,0.406,0.121
8,0.026,0.48,0.393,0.1
9,0.004,0.522,0.347,0.127
10,0.007,0.556,0.275,0.162
11,0,0.512,0.266,0.222
12,0.003,0.423,0.343,0.231
