REGION_N,geometry
CENTRAL REGION,POINT (103.8404361073424 1.354955429489439)
EAST REGION,POINT (103.9633839670078 1.32796829772857)
NORTH REGION,POINT (103.8371178947091 1.415039440959387)
NORTH-EAST REGION,POINT (103.8678180616185 1.365201551765161)
WEST REGION,POINT (103.7049024145101 1.341611988409421)
